id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
4-38,M2-M6-A4-m3,"2 9 6 3",4-38I,4-30I,false,,4-21,16,false,60,11
4-38I,m3-A4-M6-m7,"3 6 9 10",4-38,4-30,false,,4-21,16,false,84,11
4-39,m3-m3-m3-P5,"3 3 3 7",4-39I,4-39I,false,,4-26,8,true,48,11
4-39I,P4-M6-M6-M6,"5 9 9 9",4-39,4-39,false,,4-26,8,true,96,11
4-40,m3-m3-P5-P5,"3 3 7 7",4-40I,4-40I,false,,4-27,8,true,60,11
4-40I,P4-P4-M6-M6,"5 5 9 9",4-40,4-40,false,,4-27,8,true,84,11
4-41,m3-A4-P4-A4,"3 6 5 6",4-41I,4-41I,false,,4-28,8,true,60,11
4-41I,A4-P5-A4-M6,"6 7 6 9",4-41,4-41,false,,4-28,8,true,84,11
4-42,m3-P5-m3-P5,"3 7 3 7",4-42I,4-42I,true,m3-P5,,4,true,60,11
4-42I,P4-M6-P4-M6,"5 9 5 9",4-42,4-42,true,P4-M6,,4,true,84,11
4-43,P4-P4-P4-P4,"5 5 5 5",4-43I,4-43I,true,P4,,2,true,60,11
4-43I,P5-P5-P5-P5,"7 7 7 7",4-43,4-43,true,P5,,2,true,84,11
6-1,m2-m2-m2-m2-m2-m2,"1 1 1 1 1 1",6-1I,6-1I,true,m2,,2,true,12,11
6-1I,M7-M7-M7-M7-M7-M7,"11 11 11 11 11 11",6-1,6-1,true,M7,,2,true,132,11
6-2,m2-m2-m2-m2-P5-P5,"1 1 1 1 7 7",6-2I,6-2I,false,,6-1,12,true,36,11
6-2I,P4-P4-M7-M7-M7-M7,"5 5 11 11 11 11",6-2,6-2,false,,6-1,12,true,108,11
6-3,m2-m2-m2-M2-P4-m6,"1 1 1 2 5 8",6-3I,6-6I,false,,6-2,24,false,36,11
6-3I,M3-M7-M7-M7-m7-P5,"4 11 11 11 10 7",6-3,6-6,false,,6-2,24,false,108,11
6-4,m2-m2-m2-M2-M7-M2,"1 1 1 2 11 2",6-4I,6-4I,false,,6-3,12,true,36,11
6-4I,m2-m7-M7-M7-M7-m7,"1 10 11 11 11 10",6-4,6-4,false,,6-3,12,true,108,11
6-5,m2-m2-m2-P5-m2-P5,"1 1 1 7 1 7",6-5I,6-5I,false,,6-4,12,true,36,11
6-5I,P4-M7-P4-M7-M7-M7,"5 11 5 11 11 11",6-5,6-5,false,,6-4,12,true,108,11
6-6,m2-m2-m2-m6-P4-M2,"1 1 1 8 5 2",6-6I,6-3I,false,,6-2,24,false,36,11
6-6I,M3-P5-m7-M7-M7-M7,"4 7 10 11 11 11",6-6,6-3,false,,6-2,24,false,108,11
6-7,m2-m2-m2-m6-M7-m6,"1 1 1 8 11 8",6-7I,6-7I,false,,6-5,12,true,60,11
6-7I,m2-M3-M7-M7-M7-M3,"1 4 11 11 11 4",6-7,6-7,false,,6-5,12,true,84,11
6-8,m2-m2-M2-m2-M3-M6,"1 1 2 1 4 9",6-8I,6-34I,false,,6-6,24,false,36,11
6-8I,m3-M7-M7-m7-M7-m6,"3 11 11 10 11 8",6-8,6-34,false,,6-6,24,false,108,11
6-9,m2-m2-M2-m2-m7-m3,"1 1 2 1 10 3",6-9I,6-18I,false,,6-7,24,false,36,11
6-9I,M2-M6-M7-M7-m7-M7,"2 9 11 11 10 11",6-9,6-18,false,,6-7,24,false,108,11
